"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"PROSCIUTTO MATTONELLA FILO TIRAMISÚ 500 g","$631.200","$751.128","$289.560","$341.640","$119.928","60"
"PROSCIUTTO SELEZIONE ORO PRINCIPE LAMINADO 100 g","$84.868","$100.993","$58.060","$26.808","$16.125","16"
"PROSECCO ROSE MODENA DOC SPUMANTE EXTRA DRY CAVICCHIOLI 750 ml","$44.172","$61.620","$29.130","$15.042","$17.448","6"
"PROVOLA DEI MONTI AFFUMICATA SORRENTINA 3 x 780 g","$93.765","$111.579","$48.015","$45.750","$17.814","3"
"PROVOLONE  PICCANTE Kg","$86.792","$103.282","$39.115","$47.677","$16.490","5,56"
"REPUESTO CEPILLO AC-SP GI-METAL 20 x 6 x 4.6 cm","$32.340","$38.485","$20.754","$11.586","$6.145","1"
"RIGATONI Nº17 GRANORO 500 g","$14.040","$16.708","$7.680","$6.360","$2.668","12"
"RISO ARBORIO CURTIRISO 1 kg","$2.662.974","$3.168.941","$1.147.632","$1.515.342","$505.967","640"
"RISO ARBORIO GALLO 6 X 1 kg","$412.200","$490.518","$171.180","$241.020","$78.318","18"
"RISO VIALONE NANO 1 Kg","$7.344","$8.739","$2.204","$5.140","$1.395","2"
"RISOTTO PRONTO CURTIRISO AL FUNGHI PORCINI 175 g","$106.400","$126.616","$66.080","$40.320","$20.216","56"
"RISOTTO PRONTO CURTIRISO ALLA MILANESE 175 g","$53.200","$63.308","$33.040","$20.160","$10.108","28"
"ROSMARINO Nº69 GRANORO 500 g","$168.480","$200.491","$88.416","$80.064","$32.011","144"
"SALAME FELINO I.G.P. CORTE BUONA Kg","$209.593","$249.416","$94.201","$115.392","$39.823","7,78"
"SALAME FINOCCHIONA CORTE BUONA Kg","$54.981","$65.427","$28.227","$26.754","$10.446","2,98"
"SALAME FINOCCHIONA NEGRINI Kg","$104.459","$124.306","$41.964","$62.495","$19.847","5,43"
"SALAME FINOCCHIONA NEGRINI LAMINADO 100 g","$127.928","$152.234","$73.173","$54.755","$24.306","47"
"SALAME MILANO CORTE BUONA Kg","$543.622","$646.910","$272.097","$271.525","$103.288","34,21"
"SALAME MILANO CORTE BUONA LAMINADO 100 g","$137.800","$163.982","$85.332","$52.468","$26.182","52"
"SALAME NAPOLI CORTE BUONA Kg","$704.703","$838.596","$347.413","$357.290","$133.893","40,154"
"SALAME NAPOLI CORTE BUONA LAMINADO 100 g","$58.000","$69.020","$34.700","$23.300","$11.020","20"
"SALAME PEPERONI PICCANTE  300 g","$117.230","$139.504","$48.906","$68.324","$22.274","19"
"SALAME SPIANATA PICCANTE CORTE BUONA 800 g APROX","$604.224","$719.028","$287.294","$316.930","$114.804","34,02"
"SALAME SPIANATA PICCANTE CORTE BUONA LAMINADO 100 g","$101.500","$120.785","$61.355","$40.145","$19.285","35"
"SALSICCIA NAPOLI PICCANTE CORTE BUONA Kg","$333.943","$397.392","$153.140","$180.803","$63.449","17,395"
"SAVOIARDI 200 g","$110.880","$131.947","$48.642","$62.238","$21.067","66"
"SAVOIARDI 500 g","$229.350","$272.927","$70.310","$159.040","$43.577","71"
